Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
0,000;68,25;0,000;;;0,0000;;
0,020;68,26;0,000;0,000;;0,0000;0,000;
0,040;68,23;0,000;0,000;0,000;0,0000;0,000;0,000
0,060;68,23;0,000;0,000;0,000;0,0000;0,000;0,000
0,080;68,25;0,000;0,000;0,000;0,0000;0,000;0,000
0,100;68,26;0,000;0,000;0,000;0,0000;0,000;0,000
0,120;68,30;0,000;0,000;0,000;0,0000;0,000;0,000
0,140;68,26;0,000;0,000;-10,908;0,0000;0,000;-0,260
0,160;68,27;0,000;-0,436;-10,908;0,0000;-0,010;-0,260
0,180;68,31;-0,017;-0,436;10,908;-4,1667E-4;-0,010;0,260
0,200;68,32;-0,017;0,000;10,908;-4,1667E-4;0,000;0,260
0,220;68,29;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,240;68,26;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,260;68,23;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,280;68,23;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,300;68,26;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,320;68,31;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,340;68,32;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,360;68,28;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,380;68,27;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,400;68,28;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,420;68,30;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,440;68,36;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,460;68,37;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000
0,480;68,35;-0,017;0,000;-10,908;-4,1667E-4;0,000;-0,260
0,500;68,37;-0,017;-0,436;-32,725;-4,1667E-4;-0,010;-0,781
0,520;68,38;-0,035;-1,309;-65,450;-8,3333E-4;-0,031;-1,562
0,540;68,37;-0,070;-3,054;-87,266;-0,0017;-0,073;-2,083
0,560;68,37;-0,157;-4,800;-54,542;-0,0037;-0,115;-1,302
0,580;68,36;-0,262;-5,236;-10,908;-0,0062;-0,125;-0,260
0,600;68,37;-0,367;-5,236;10,908;-0,0087;-0,125;0,260
0,620;68,43;-0,471;-4,800;32,725;-0,0112;-0,115;0,781
0,640;68,41;-0,559;-3,927;43,633;-0,0133;-0,094;1,042
0,660;68,38;-0,628;-3,054;43,633;-0,0150;-0,073;1,042
0,680;68,39;-0,681;-2,182;43,633;-0,0163;-0,052;1,042
0,700;68,41;-0,716;-1,309;21,817;-0,0171;-0,031;0,521
0,720;68,42;-0,733;-1,309;9,437E-14;-0,0175;-0,031;0,000
0,740;68,46;-0,768;-1,309;9,437E-14;-0,0183;-0,031;4,424E-15
0,760;68,47;-0,785;-1,309;-21,817;-0,0188;-0,031;-0,521
0,780;68,47;-0,820;-2,182;-54,542;-0,0196;-0,052;-1,302
0,800;68,43;-0,873;-3,491;-54,542;-0,0208;-0,083;-1,302
0,820;68,37;-0,960;-4,363;-21,817;-0,0229;-0,104;-0,521
0,840;68,38;-1,047;-4,363;21,817;-0,0250;-0,104;0,521
0,860;68,42;-1,134;-3,491;43,633;-0,0271;-0,083;1,042
0,880;68,41;-1,187;-2,618;32,725;-0,0283;-0,062;0,781
0,900;68,39;-1,239;-2,182;-1,443E-13;-0,0296;-0,052;2,082E-15
0,920;68,35;-1,274;-2,618;-21,817;-0,0304;-0,062;-0,521
0,940;68,35;-1,344;-3,054;21,817;-0,0321;-0,073;0,521
0,960;68,42;-1,396;-1,745;43,633;-0,0333;-0,042;1,042
0,980;68,41;-1,414;-1,309;-1,665E-14;-0,0337;-0,031;-1,561E-15
1,000;68,42;-1,449;-1,745;-32,725;-0,0346;-0,042;-0,781
1,020;68,39;-1,484;-2,618;-54,542;-0,0354;-0,062;-1,302
1,040;68,38;-1,553;-3,927;-32,725;-0,0371;-0,094;-0,781
1,060;68,39;-1,641;-3,927;0,000;-0,0392;-0,094;-4,163E-15
1,080;68,40;-1,710;-3,927;0,000;-0,0408;-0,094;4,163E-15
1,100;68,41;-1,798;-3,927;32,725;-0,0429;-0,094;0,781
1,120;68,42;-1,868;-2,618;54,542;-0,0446;-0,062;1,302
1,140;68,37;-1,902;-1,745;21,817;-0,0454;-0,042;0,521
1,160;68,36;-1,937;-1,745;3,830E-13;-0,0462;-0,042;1,006E-14
1,180;68,38;-1,972;-1,745;10,908;-0,0471;-0,042;0,260
1,200;68,42;-2,007;-1,309;10,908;-0,0479;-0,031;0,260
1,220;68,43;-2,025;-1,309;-10,908;-0,0483;-0,031;-0,260
1,240;68,46;-2,059;-1,745;-21,817;-0,0492;-0,042;-0,521
1,260;68,47;-2,094;-2,182;-10,908;-0,0500;-0,052;-0,260
1,280;68,45;-2,147;-2,182;10,908;-0,0512;-0,052;0,260
1,300;68,41;-2,182;-1,745;0,000;-0,0521;-0,042;0,000
1,320;68,41;-2,217;-2,182;-32,725;-0,0529;-0,052;-0,781
1,340;68,46;-2,269;-3,054;-54,542;-0,0542;-0,073;-1,302
1,360;68,43;-2,339;-4,363;-43,633;-0,0558;-0,104;-1,042
1,380;68,37;-2,443;-4,800;10,908;-0,0583;-0,115;0,260
1,400;68,39;-2,531;-3,927;32,725;-0,0604;-0,094;0,781
1,420;68,45;-2,601;-3,491;21,817;-0,0621;-0,083;0,521
1,440;68,46;-2,670;-3,054;32,725;-0,0637;-0,073;0,781
1,460;68,42;-2,723;-2,182;32,725;-0,0650;-0,052;0,781
1,480;68,37;-2,758;-1,745;21,817;-0,0658;-0,042;0,521
1,500;68,37;-2,793;-1,309;21,817;-0,0667;-0,031;0,521
1,520;68,39;-2,810;-0,873;-10,908;-0,0671;-0,021;-0,260
1,540;68,40;-2,827;-1,745;-54,542;-0,0675;-0,042;-1,302
1,560;68,44;-2,880;-3,054;-43,633;-0,0687;-0,073;-1,042
1,580;68,47;-2,950;-3,491;-10,908;-0,0704;-0,083;-0,260
1,600;68,50;-3,019;-3,491;0,000;-0,0721;-0,083;8,674E-15
1,620;68,49;-3,089;-3,491;-2,776E-13;-0,0737;-0,083;8,674E-15
1,640;68,49;-3,159;-3,491;-21,817;-0,0754;-0,083;-0,521
1,660;68,50;-3,229;-4,363;-32,725;-0,0771;-0,104;-0,781
1,680;68,49;-3,334;-4,800;5,995E-13;-0,0796;-0,115;1,457E-14
1,700;68,47;-3,421;-4,363;21,817;-0,0817;-0,104;0,521
1,720;68,46;-3,508;-3,927;43,633;-0,0837;-0,094;1,042
1,740;68,51;-3,578;-2,618;54,542;-0,0854;-0,062;1,302
1,760;68,49;-3,613;-1,745;21,817;-0,0862;-0,042;0,521
1,780;68,48;-3,648;-1,745;2,776E-13;-0,0871;-0,042;8,674E-15
1,800;68,48;-3,683;-1,745;-10,908;-0,0879;-0,042;-0,260
1,820;68,46;-3,718;-2,182;-21,817;-0,0887;-0,052;-0,521
1,840;68,48;-3,770;-2,618;0,000;-0,0900;-0,062;8,674E-15
1,860;68,51;-3,822;-2,182;21,817;-0,0912;-0,052;0,521
1,880;68,56;-3,857;-1,745;-2,998E-13;-0,0921;-0,042;-1,596E-14
1,900;68,52;-3,892;-2,182;-21,817;-0,0929;-0,052;-0,521
1,920;68,51;-3,944;-2,618;5,773E-13;-0,0942;-0,063;1,596E-14
1,940;68,47;-3,997;-2,182;21,817;-0,0954;-0,052;0,521
1,960;68,49;-4,032;-1,745;-5,551E-13;-0,0962;-0,042;-8,674E-15
1,980;68,54;-4,067;-2,182;-21,817;-0,0971;-0,052;-0,521
2,000;68,55;-4,119;-2,618;-10,908;-0,0983;-0,062;-0,260
2,020;68,58;-4,171;-2,618;0,000;-0,0996;-0,062;0,000
2,040;68,57;-4,224;-2,618;10,908;-0,1008;-0,062;0,260
2,060;68,57;-4,276;-2,182;10,908;-0,1021;-0,052;0,260
2,080;68,55;-4,311;-2,182;-21,817;-0,1029;-0,052;-0,521
2,100;68,56;-4,363;-3,054;-21,817;-0,1042;-0,073;-0,521
2,120;68,59;-4,433;-3,054;-5,551E-13;-0,1058;-0,073;-8,674E-15
2,140;68,64;-4,485;-3,054;0,000;-0,1071;-0,073;0,000
2,160;68,69;-4,555;-3,054;-10,908;-0,1087;-0,073;-0,260
2,180;68,71;-4,608;-3,491;-21,817;-0,1100;-0,083;-0,521
2,200;68,75;-4,695;-3,927;0,000;-0,1121;-0,094;0,000
2,220;68,81;-4,765;-3,491;32,725;-0,1137;-0,083;0,781
2,240;68,83;-4,835;-2,618;32,725;-0,1154;-0,062;0,781
2,260;68,85;-4,869;-2,182;0,000;-0,1162;-0,052;0,000
2,280;68,94;-4,922;-2,618;-21,817;-0,1175;-0,062;-0,521
2,300;68,99;-4,974;-3,054;-7,216E-13;-0,1187;-0,073;-1,735E-14
2,320;69,07;-5,044;-2,618;21,817;-0,1204;-0,063;0,521
2,340;69,26;-5,079;-2,182;1,277E-12;-0,1212;-0,052;2,602E-14
2,360;69,34;-5,131;-2,618;-21,817;-0,1225;-0,062;-0,521
2,380;69,40;-5,184;-3,054;-5,551E-13;-0,1237;-0,073;-1,735E-14
2,400;69,53;-5,253;-2,618;32,725;-0,1254;-0,063;0,781
2,420;69,61;-5,288;-1,745;0,000;-0,1262;-0,042;8,674E-15
2,440;69,72;-5,323;-2,618;-43,633;-0,1271;-0,062;-1,042
2,460;69,90;-5,393;-3,491;-10,908;-0,1288;-0,083;-0,260
2,480;70,01;-5,463;-3,054;10,908;-0,1304;-0,073;0,260
2,500;70,16;-5,515;-3,054;-10,908;-0,1317;-0,073;-0,260
2,520;70,29;-5,585;-3,491;-10,908;-0,1333;-0,083;-0,260
2,540;70,48;-5,655;-3,491;10,908;-0,1350;-0,083;0,260
2,560;70,77;-5,725;-3,054;32,725;-0,1367;-0,073;0,781
2,580;71,01;-5,777;-2,182;32,725;-0,1379;-0,052;0,781
2,600;71,25;-5,812;-1,745;-5,551E-13;-0,1387;-0,042;0,000
2,620;71,48;-5,847;-2,182;-10,908;-0,1396;-0,052;-0,260
2,640;71,64;-5,899;-2,182;5,551E-13;-0,1408;-0,052;-1,735E-14
2,660;71,79;-5,934;-2,182;-21,817;-0,1417;-0,052;-0,521
2,680;71,97;-5,986;-3,054;-32,725;-0,1429;-0,073;-0,781
2,700;72,12;-6,056;-3,491;-10,908;-0,1446;-0,083;-0,260
2,720;72,33;-6,126;-3,491;10,908;-0,1462;-0,083;0,260
2,740;72,47;-6,196;-3,054;21,817;-0,1479;-0,073;0,521
2,760;72,67;-6,248;-2,618;10,908;-0,1492;-0,062;0,260
2,780;72,94;-6,301;-2,618;-1,665E-13;-0,1504;-0,062;-3,469E-14
2,800;73,15;-6,353;-2,618;-1,277E-12;-0,1517;-0,063;-3,469E-14
2,820;73,30;-6,405;-2,618;1,665E-13;-0,1529;-0,063;1,735E-14
2,840;73,48;-6,458;-2,618;-10,908;-0,1542;-0,062;-0,260
2,860;73,64;-6,510;-3,054;-10,908;-0,1554;-0,073;-0,260
2,880;73,86;-6,580;-3,054;10,908;-0,1571;-0,073;0,260
2,900;74,08;-6,632;-2,618;21,817;-0,1583;-0,062;0,521
2,920;74,22;-6,685;-2,182;10,908;-0,1596;-0,052;0,260
2,940;74,46;-6,720;-2,182;-21,817;-0,1604;-0,052;-0,521
2,960;74,65;-6,772;-3,054;-43,633;-0,1617;-0,073;-1,042
2,980;74,84;-6,842;-3,927;-21,817;-0,1633;-0,094;-0,521
3,000;75,06;-6,929;-3,927;-5,551E-13;-0,1654;-0,094;0,000
3,020;75,18;-6,999;-3,927;5,551E-13;-0,1671;-0,094;1,735E-14
3,040;75,35;-7,086;-3,927;10,908;-0,1692;-0,094;0,260
3,060;75,50;-7,156;-3,491;21,817;-0,1708;-0,083;0,521
3,080;75,64;-7,226;-3,054;10,908;-0,1725;-0,073;0,260
3,100;75,72;-7,278;-3,054;-5,551E-13;-0,1737;-0,073;0,000
3,120;75,70;-7,348;-3,054;0,000;-0,1754;-0,073;1,735E-14
3,140;75,70;-7,400;-3,054;10,908;-0,1767;-0,073;0,260
3,160;75,71;-7,470;-2,618;0,000;-0,1783;-0,062;-1,735E-14
3,180;75,73;-7,505;-3,054;-43,633;-0,1792;-0,073;-1,042
3,200;75,78;-7,592;-4,363;-54,542;-0,1812;-0,104;-1,302
3,220;75,80;-7,679;-5,236;-32,725;-0,1833;-0,125;-0,781
3,240;75,82;-7,802;-5,672;-1,110E-12;-0,1862;-0,135;1,735E-14
3,260;75,83;-7,906;-5,236;21,817;-0,1887;-0,125;0,521
3,280;75,87;-8,011;-4,800;10,908;-0,1912;-0,115;0,260
3,300;75,90;-8,098;-4,800;-10,908;-0,1933;-0,115;-0,260
3,320;75,86;-8,203;-5,236;10,908;-0,1958;-0,125;0,260
3,340;75,82;-8,308;-4,363;43,633;-0,1983;-0,104;1,042
3,360;75,77;-8,378;-3,491;21,817;-0,2000;-0,083;0,521
3,380;75,68;-8,447;-3,491;-21,817;-0,2017;-0,083;-0,521
3,400;75,57;-8,517;-4,363;-32,725;-0,2033;-0,104;-0,781
3,420;75,35;-8,622;-4,800;21,817;-0,2058;-0,115;0,521
3,440;75,14;-8,709;-3,491;43,633;-0,2079;-0,083;1,042
3,460;75,02;-8,762;-3,054;10,908;-0,2092;-0,073;0,260
3,480;74,86;-8,831;-3,054;-21,817;-0,2108;-0,073;-0,521
3,500;74,68;-8,884;-3,927;-54,542;-0,2121;-0,094;-1,302
3,520;74,50;-8,988;-5,236;-21,817;-0,2146;-0,125;-0,521
3,540;74,27;-9,093;-4,800;21,817;-0,2171;-0,115;0,521
3,560;74,07;-9,180;-4,363;21,817;-0,2192;-0,104;0,521
3,580;73,79;-9,268;-3,927;10,908;-0,2212;-0,094;0,260
3,600;73,53;-9,338;-3,927;0,000;-0,2229;-0,094;0,000
3,620;73,27;-9,425;-3,927;0,000;-0,2250;-0,094;0,000
3,640;72,95;-9,495;-3,927;10,908;-0,2267;-0,094;0,260
3,660;72,72;-9,582;-3,491;21,817;-0,2287;-0,083;0,521
3,680;72,42;-9,634;-3,054;-10,908;-0,2300;-0,073;-0,260
3,700;72,04;-9,704;-3,927;-21,817;-0,2317;-0,094;-0,521
3,720;71,82;-9,791;-3,927;10,908;-0,2337;-0,094;0,260
3,740;71,54;-9,861;-3,491;10,908;-0,2354;-0,083;0,260
3,760;71,32;-9,931;-3,491;-10,908;-0,2371;-0,083;-0,260
3,780;71,10;-10,001;-3,927;-10,908;-0,2387;-0,094;-0,260
3,800;70,80;-10,088;-3,927;10,908;-0,2408;-0,094;0,260
3,820;70,62;-10,158;-3,491;2,220E-14;-0,2425;-0,083;-2,602E-14
3,840;70,46;-10,228;-3,927;-32,725;-0,2442;-0,094;-0,781
3,860;70,20;-10,315;-4,800;-10,908;-0,2463;-0,115;-0,260
3,880;70,01;-10,420;-4,363;43,633;-0,2487;-0,104;1,042
3,900;69,83;-10,489;-3,054;43,633;-0,2504;-0,073;1,042
3,920;69,59;-10,542;-2,618;32,725;-0,2517;-0,062;0,781
3,940;69,44;-10,594;-1,745;43,633;-0,2529;-0,042;1,042
3,960;69,26;-10,612;-0,873;10,908;-0,2533;-0,021;0,260
3,980;69,14;-10,629;-1,309;-54,542;-0,2537;-0,031;-1,302
4,000;69,07;-10,664;-3,054;-87,266;-0,2546;-0,073;-2,083
4,020;68,93;-10,751;-4,800;-65,450;-0,2567;-0,115;-1,562
4,040;68,83;-10,856;-5,672;-10,908;-0,2592;-0,135;-0,260
4,060;68,76;-10,978;-5,236;32,725;-0,2621;-0,125;0,781
4,080;68,66;-11,065;-4,363;-1,110E-12;-0,2642;-0,104;0,000
4,100;68,57;-11,153;-5,236;-32,725;-0,2662;-0,125;-0,781
4,120;68,43;-11,275;-5,672;10,908;-0,2692;-0,135;0,260
4,140;68,38;-11,380;-4,800;54,542;-0,2717;-0,115;1,302
4,160;68,32;-11,467;-3,491;54,542;-0,2737;-0,083;1,302
4,180;68,26;-11,519;-2,618;21,817;-0,2750;-0,062;0,521
4,200;68,19;-11,572;-2,618;10,908;-0,2762;-0,062;0,260
4,220;68,15;-11,624;-2,182;0,000;-0,2775;-0,052;0,000
4,240;68,08;-11,659;-2,618;-21,817;-0,2783;-0,062;-0,521
4,260;68,04;-11,729;-3,054;21,817;-0,2800;-0,073;0,521
4,280;68,03;-11,781;-1,745;54,542;-0,2812;-0,042;1,302
4,300;68,02;-11,798;-0,873;32,725;-0,2817;-0,021;0,781
4,320;68,02;-11,816;-0,436;21,817;-0,2821;-0,010;0,521
4,340;67,95;-11,816;0,000;10,908;-0,2821;0,000;0,260
4,360;67,92;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,380;67,95;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,400;67,94;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,420;67,94;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,440;67,93;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,460;67,95;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,480;67,94;-11,816;0,000;0,000;-0,2821;0,000;0,000
4,500;68,00;-11,816;0,000;;-0,2821;0,000;
